image_filename,badge_id,title_seen,subtitle_seen,confidence,notes
image00001.png,genre_romance_legende,Legende,Romance,high,
image00002.png,genre_polar_maitre,Maitre,Polar / Thriller,high,
image00003.png,occasion_world_book_day,Journee du livre,23 avril,high,
image00004.png,streak_3_days,Premier Pas,3 jours,high,
image00005.png,genre_polar_apprenti,Apprenti,Polar / Thriller,high,
image00006.png,secret_night_marathon,Marathon Nocturne,22h-6h,high,
image00007.png,comeback_5d,De Retour,5 jours sans lire,high,
image00008.png,anim_night_owl,Noctambule,10 sessions nocturnes,high,
image00009.png,genre_sf_apprenti,Apprenti,Science-Fiction,high,
image00010.png,monthly_apr,Challenge Avril,Avril,high,
image00011.png,time_250h,Marathonien,250h,high,
image00012.png,genre_romance_apprenti,Apprenti,Romance,high,
image00013.png,anniversary_5,Legende Vivante,5 ans d'inscription,high,
image00014.png,yearly_top_10,Top 10%,Top 10% des lecteurs,high,
image00015.png,genre_fiction_5,Amateur de Fiction,,high,
image00016.png,anim_fire_burst,Feu de Paille,3h d'affilee,high,
image00017.png,genre_devperso_adepte,Adepte,15 livres dev perso,high,
image00018.png,streak_30_days,Un Mois,30 jours,high,
image00019.png,engage_profile,Bienvenue,Profil complet,high,
image00020.png,genre_polar_legende,Legende,Polar / Thriller,high,
image00021.png,monthly_sep,Challenge Septembre,Objectif mensuel septembre,high,
image00022.png,genre_master_romance,Maitre de la Romance,,high,
image00023.png,streak_500_days,Streak Legendaire,500 jours,high,
image00024.png,genre_bio_maitre,Maitre,30 biographies,high,
image00025.png,genre_romance_adepte,Adepte,Romance,high,
image00026.png,occasion_summer_read,Lecture au soleil,15 aout,high,
image00027.png,genre_explorer_5,Eclectique,,high,
image00028.png,genre_master_thriller,Maitre du Thriller,,high,
image00029.png,genre_devperso_maitre,Maitre,30 livres dev perso,high,
image00030.png,occasion_fete_musique,Lecture en musique,21 juin,high,
image00031.png,yearly_top_1,Top 1%,Top 1% des lecteurs,high,
image00032.png,genre_master_mystery,Maitre du Polar,,high,
image00033.png,secret_finisher,Finisher,1 session,high,
image00034.png,genre_bio_apprenti,Apprenti,5 biographies,high,
image00035.png,secret_palindrome,Palindrome,jour palindrome,high,
image00036.png,goal_achieved_1,Mission Accomplie,1 objectif atteint,high,
image00037.png,genre_devperso_apprenti,Apprenti,5 livres dev perso,high,
image00038.png,social_followers_500,Star,,high,
image00039.png,style_indie,Inde,5 livres,high,
image00040.png,goal_achieved_5,Performeur,5 objectifs,high,
image00041.png,streak_180_days,Semi-Annuel,180 jours,high,
image00042.png,secret_loyal_2y,Ancien,2 ans,high,
image00043.png,occasion_christmas,Lecture de Noel,25 decembre,high,
image00044.png,anniversary_3,Sage des Pages,3 ans d'inscription,high,
image00045.png,genre_histoire_legende,Legende,50 livres d'histoire,high,
image00046.png,genre_horreur_maitre,Maitre,Horreur,high,
image00047.png,engage_invite_1,Parrain,1 ami,high,
image00048.png,social_follow_20,Networker,20 amis,high,
image00049.png,genre_master_all,Omniscient,,high,
image00050.png,books_25,Bibliophile,25 livres lus,high,
image00051.png,books_100,Centenaire,100 livres,high,
image00052.png,genre_sf_maitre,Maitre,Science-Fiction,high,
image00053.png,genre_devperso_legende,Legende,50 livres dev perso,high,
image00054.png,genre_master_history,Maitre de l'Histoire,Histoire,high,
image00055.png,streak_90_days,Trimestre Parfait,90 jours,high,
image00056.png,yearly_2025,Wrapped 2025,Year in Books 2025,high,
image00057.png,genre_horreur_apprenti,Apprenti,Horreur,high,
image00058.png,genre_bio_adepte,Adepte,15 biographies,high,
image00059.png,books_200,Legende Litteraire,200,high,
image00060.png,social_invite_10,Parrain d'Or,,high,
image00061.png,social_club_leader,Leader,,high,
image00062.png,books_50,Devoreur de Pages,50,high,
image00063.png,genre_nonfiction_5,Esprit Curieux,,high,
image00064.png,genre_romance_maitre,Maitre,Romance,high,"Cat 8 master (series Apprenti/Adepte/Maitre/Legende). Has LexDay frame with number ribbon (65). Distinct from image00022 which is the cat 7 'Maitre de la Romance' premium badge."
image00065.png,annual_1_per_month,Un par Mois sur un an,12 livres,high,
image00066.png,genre_explorer_3,Explorateur,,high,
image00067.png,occasion_bastille_day,Prise de la Bastille,14 juillet,high,
image00068.png,monthly_mar,Challenge Mars,,high,
image00069.png,monthly_may,Challenge Mai,Mai,high,
image00070.png,anniversary_1,Premiere Bougie,1 an d'inscription,high,
image00071.png,yearly_2026,Wrapped 2026,Year in Books 2026,high,
image00072.png,monthly_jul,Challenge Juillet,Juillet,high,
image00073.png,occasion_valentine,Lecture de l'amour,14 fevrier,high,
image00074.png,occasion_halloween,Lecture frisson,31 octobre,high,
image00075.png,social_follow_5,Sociable,5 amis,high,
image00076.png,social_reviews_50,Critique Litteraire,,high,
image00077.png,time_50h,Passionne,50h,high,
image00078.png,style_big_books,Gros Paves,500+ pages,high,
image00079.png,social_followers_100,Influenceur Pro,,high,
image00080.png,occasion_new_year,Premier Chapitre de l'Annee,1er janvier,high,
image00081.png,time_1000h,Millenaire,1000h,high,
image00082.png,occasion_easter,Lecture de Paques,Paques,high,
image00083.png,streak_14_days,Deux Semaines,14 jours,high,
image00084.png,time_1h,Une Heure de Magie,,high,
image00085.png,style_contemporary,Contemporain,10 livres,high,
image00086.png,goal_created,Objectif Fixe,1 objectif,high,
image00087.png,social_invite_25,Parrain Platine,,high,
image00088.png,annual_2_per_month,24 livres par an,24 livres,high,
image00089.png,comeback_3d,Petit Retour,3 jours sans lire,high,
image00090.png,books_1,Premier Chapitre,,high,
image00091.png,annual_centenaire,Centenaire,,medium,"Centenaire without subtitle; could be books_100 variant. The image00051 has 100 livres explicitly so this one (no subtitle) is treated as annual_centenaire by elimination"
image00092.png,occasion_labour_day,Pause meritee,1er mai,high,
image00093.png,streak_7_days,Une Semaine,7 jours,high,
image00094.png,genre_histoire_adepte,Adepte,15 livres d'histoire,high,
image00095.png,style_slow_reader,Slow Reader,1 livre,high,
image00096.png,engage_kindle,Connecte,Kindle,high,
image00097.png,social_comments_10,Bavard,,high,
image00098.png,anniversary_4,Etoile Litteraire,4 ans d'inscription,high,
image00099.png,annual_1_per_week,52 par an,52 livres,high,
image00100.png,social_club_founder,Fondateur de Club,,high,
image00101.png,secret_flash,Flash Reader,3 violations,high,
image00102.png,occasion_nye,Lecture du Reveillon,31 decembre,high,
image00103.png,occasion_april_fools,Poisson d'Avril,1er avril,high,
image00104.png,monthly_jan,Challenge Janvier,,high,
image00105.png,social_first_like,Premiere Reaction,,high,
image00106.png,genre_bio_legende,Legende,50 biographies,high,
image00107.png,genre_horreur_adepte,Adepte,Horreur,high,
image00108.png,books_10,Lecteur Confirme,10,high,
image00109.png,style_speed_reader,Speed Reader,3 livres,high,
image00110.png,anim_early_bird,Leve-Tot,10 sessions matinales,high,
image00111.png,secret_midnight,Minuit Pile,00:00,high,
image00112.png,genre_horreur_legende,Legende,Horreur,high,
image00113.png,anim_weekend_warrior,Week-end Warrior,5h le week-end,high,
image00114.png,secret_404,Page 404,easter egg,high,
image00115.png,genre_master_fantasy,Maitre de la Fantasy,,high,
image00116.png,books_5,Apprenti Lecteur,,high,
image00117.png,time_first,Premiere Session,,high,
image00118.png,streak_60_days,Incassable,60 jours,high,
image00119.png,secret_new_year,Premier de l'An,1er janvier,high,
image00120.png,style_polyglot,Polyglotte,2 langues,high,
image00121.png,genre_sf_legende,Legende,Science-Fiction,high,
image00122.png,genre_sf_adepte,Adepte,Science-Fiction,high,
image00123.png,time_500h,Demi-Millenaire,500h,high,
image00124.png,monthly_aug,Challenge Aout,Aout,high,
image00125.png,genre_histoire_maitre,Maitre,30 livres d'histoire,high,
image00126.png,secret_loyal_1y,Fidele,1 an,high,
image00127.png,monthly_dec,Challenge Decembre,Decembre,high,
image00128.png,genre_histoire_apprenti,Apprenti,5 livres d'histoire,high,
image00129.png,streak_365_days,Annee Complete,365 jours,high,
image00130.png,monthly_collector,Collectionneur,12 challenges,high,
image00131.png,anim_rising_star,Etoile Montante,10 livres / 1 mois,high,
image00132.png,social_followers_10,Influenceur,,high,
image00133.png,genre_polar_adepte,Adepte,Polar / Thriller,high,
image00134.png,monthly_feb,Challenge Fevrier,,high,
image00135.png,genre_master_biography,Maitre de la Bio,Biographie,high,
image00136.png,genre_master_selfhelp,Maitre du Dev Perso,Developpement personnel,high,
image00137.png,monthly_jun,Challenge Juin,Objectif mensuel juin,high,
image00138.png,anniversary_2,Lecteur Fidele,2 ans d'inscription,high,"Title 'Lecteur Fidele' matches both anniversary_2 and comeback_2w. Subtitle '2 ans d'inscription' confirms anniversary_2. NOTE: comeback_2w (14 jours) is NOT represented in the 147 images."
image00139.png,books_500,Bibliotheque Vivante,500 livres,high,
image00140.png,monthly_oct,Challenge Octobre,Objectif mensuel octobre,high,
image00141.png,genre_master_sf,Maitre de la SF,,high,
image00142.png,style_classic,Classique,10 livres,high,
image00143.png,monthly_nov,Challenge Novembre,Objectif mensuel novembre,high,
image00144.png,style_rereader,Relecteur,1 livre,high,
image00145.png,time_10h,Lecteur du Dimanche,10h 600 min,high,
image00146.png,time_100h,Centurion,100h,high,
image00147.png,social_followers_1k,Celebrite,,high,
